,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
100,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2019/06/06
101,2,0.13,2,2,2,100,2,100.0,120,1.0,--,--,new,2019/06/20
102,2,0.13,1,1,1,100,1,0.0,90,2.0,--,--,new,2019/08/30
103,2,0.13,2,1,1,100,2,100.0,120,1.0,--,--,new,2020/03/23
104,2,0.13,1,1,1,100,1,0.0,90,2.0,--,--,new,2019/06/24
105,2,0.13,1,1,1,100,1,0.0,132,2.0,--,--,new,2019/06/13
106,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2020/03/17
107,2,0.13,2,2,2,100,2,100.0,64,1.0,--,--,new,2019/12/19
108,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2020/01/05
109,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2020/02/09
110,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2019/11/24
111,2,0.13,1,1,1,100,1,0.0,40,2.0,--,--,new,2020/01/21
112,2,0.13,2,2,2,100,1,100.0,120,1.0,--,--,new,2019/12/29
113,2,0.13,1,1,1,100,1,0.0,25,2.0,--,--,new,2019/07/31
114,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/03/22
115,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/10/08
116,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/03/16
117,1,0.07,1,1,1,100,1,100.0,47,1.0,--,--,new,2019/03/04
118,1,0.07,1,1,1,100,1,100.0,15,1.0,--,--,new,2019/03/11
119,1,0.07,1,1,1,100,1,100.0,142,1.0,--,--,new,2019/12/11
120,1,0.07,1,1,1,100,1,100.0,3,1.0,--,--,new,2020/03/06
121,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/05/21
122,1,0.07,1,1,1,100,1,100.0,4,1.0,--,--,new,2019/08/02
123,1,0.07,1,1,1,100,1,100.0,33,1.0,--,--,new,2019/09/20
124,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/09/05
125,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/11/10
126,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/03/15
127,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/07/29
128,1,0.07,1,1,1,100,1,100.0,782,1.0,--,--,new,2020/03/26
129,1,0.07,1,1,1,100,1,100.0,1,1.0,--,--,new,2019/06/19
130,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/02/01
131,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/08/07
132,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/01/20
133,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/11/16
134,1,0.07,1,1,1,100,1,100.0,38,1.0,--,--,new,2019/12/24
135,1,0.07,1,1,1,100,1,100.0,56,1.0,--,--,new,2020/02/13
136,1,0.07,1,1,1,100,1,100.0,3,1.0,--,--,new,2020/01/22
137,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/03/25
138,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/04/02
139,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/11/09
140,1,0.07,1,1,1,100,1,100.0,3,1.0,--,--,new,2019/12/23
141,1,0.07,1,1,1,100,1,100.0,1189,1.0,--,--,new,2019/10/03
142,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2020/01/04
143,1,0.07,1,1,1,100,1,100.0,120,1.0,--,--,new,2019/09/29
144,1,0.07,1,1,1,100,1,100.0,6,1.0,--,--,new,2019/07/03
0,275,1.93,7,4,0,0,4,0,2873,39.29,--,--,old,2019/12/03
1,230,1.62,9,6,0,0,5,22.22,2211,25.56,--,--,old,2019/11/06
2,206,1.45,4,1,0,0,1,0,6288,51.5,--,--,old,2019/07/30
3,172,1.21,10,3,0,0,3,30,1937,17.2,--,--,old,2019/03/28
4,172,1.21,9,3,0,0,3,11.11,2008,19.11,--,--,old,2019/09/02
5,170,1.2,7,4,0,0,4,0,2652,24.29,--,--,old,2019/12/09
6,158,1.11,10,4,0,0,4,10,2460,15.8,--,--,old,2019/08/20
7,154,1.08,10,6,0,0,6,20,1322,15.4,--,--,old,2019/04/03
8,152,1.07,12,6,0,0,6,8.33,1082,12.67,--,--,old,2019/08/16
9,143,1.01,3,2,0,0,2,0,5509,47.67,--,--,old,2019/12/11
