,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,avg_visit_time,avg_visit_pages,date,anno_number,disease_number,genedesc_number
292,35,0.25,5,2,0,0,2,1542,7.0,2019-12-14,1486,228,754
293,34,0.24,3,2,0,0,2,3134,11.33,2019-08-22,1469,228,746
294,34,0.24,3,2,0,0,2,2640,11.33,2019-04-17,1329,228,710
295,34,0.24,4,2,0,0,2,1300,8.5,2019-06-18,1385,228,730
296,34,0.24,5,3,0,0,3,856,6.8,2019-06-06,1362,228,729
297,34,0.24,2,2,0,0,2,2244,17.0,2019-11-19,1486,228,754
298,34,0.24,2,2,0,0,2,4401,17.0,2019-07-08,1387,228,737
299,34,0.24,6,4,0,0,4,736,5.67,2019-11-13,1486,228,754
300,33,0.23,7,4,0,0,4,276,4.71,2019-11-22,1486,228,754
301,33,0.23,1,1,0,0,1,6861,33.0,2019-08-03,1455,228,739
302,33,0.23,4,3,0,0,3,1787,8.25,2019-12-02,1486,228,754
303,32,0.23,6,4,0,0,5,874,5.33,2019-11-26,1486,228,754
304,32,0.23,3,2,0,0,3,2012,10.67,2019-10-22,1485,228,754
305,32,0.23,7,2,0,0,2,1158,4.57,2019-03-15,1283,228,703
306,31,0.22,2,2,0,0,1,2780,15.5,2019-05-20,1358,228,720
307,31,0.22,5,4,0,0,4,876,6.2,2019-08-06,1462,228,743
308,30,0.21,2,2,0,0,2,2441,15.0,2019-04-20,1337,228,713
309,30,0.21,5,3,0,0,3,500,6.0,2019-08-08,1464,228,743
310,29,0.2,5,3,0,0,3,628,5.8,2020-04-03,1499,228,754
311,29,0.2,3,2,0,0,2,727,9.67,2020-01-17,1489,228,754
312,28,0.2,3,2,0,0,2,742,9.33,2020-02-05,1489,228,754
313,28,0.2,4,1,0,0,1,821,7.0,2019-07-09,1387,228,737
314,28,0.2,7,4,0,0,3,378,4.0,2019-09-10,1474,228,753
315,28,0.2,2,2,0,0,2,1065,14.0,2019-04-16,1326,228,710
316,28,0.2,7,3,0,0,3,638,4.0,2019-07-24,1390,228,739
317,28,0.2,7,3,0,0,3,1008,4.0,2019-12-20,1486,228,754
318,28,0.2,6,2,0,0,2,588,4.67,2019-10-11,1485,228,753
319,27,0.19,4,4,0,0,4,1736,6.75,2019-12-30,1486,228,754
320,27,0.19,4,2,0,0,2,2099,6.75,2020-01-05,1488,228,754
321,27,0.19,3,2,0,0,2,525,9.0,2020-03-09,1493,228,754
322,27,0.19,1,1,0,0,1,5134,27.0,2020-02-11,1492,228,754
323,26,0.18,2,2,0,0,2,1482,13.0,2019-11-14,1486,228,754
324,26,0.18,4,1,0,0,1,1065,6.5,2020-02-23,1492,228,754
325,26,0.18,3,3,0,0,3,1251,8.67,2019-09-11,1474,228,753
326,26,0.18,4,3,0,0,3,526,6.5,2020-01-21,1489,228,754
327,26,0.18,4,2,0,0,2,1295,6.5,2019-06-10,1364,228,729
328,26,0.18,2,2,0,0,2,1372,13.0,2019-10-23,1485,228,754
329,26,0.18,2,2,0,0,2,1493,13.0,2019-06-16,1385,228,730
330,26,0.18,2,2,0,0,2,206,13.0,2019-06-20,1385,228,730
